dataset	accession	num_patients_or_cell_lines	num_samples	num_genes	disease_stages	geo_title	article	article_url	year	sample_type	cell_type	disease_fields	disease_fields_orig	censor_fields	censor_fields_orig	num_covariates	disease_stages_orig_substr	other_fields_of_interest	includes_survival	includes_disease_stage	includes_treatment	platform	platform_type	platform_description	normalization	single_cell	accession_aliases	notes
Ryu et al. (2019)	GSE106218	10	338	35395	MM	Single cell RNA sequencing of multiple myeloma I	Alterations in the transcriptional programs of myeloma cells and the microenvironment during extramedullary progression affect proliferation and immune evasion	https://pubmed.ncbi.nlm.nih.gov/31558476/	2019	Patient	CD138+	iss_stage, os_time	ISS stage'	os_event	Death(alive=0; death=1)'	2		heavy_chain, light_chain	yes	yes		GPL16791	RNA-Seq	Illumina HiSeq 2500	TPM	TRUE		338 single samples averaged within each patient to form 10 meta samples in expression data used; Clinical metadata is at the patient level, so this is a neccessary step.
Storti et al. (2019)	GSE117847	20	32	52185	SMM, MM	A retained transcriptomic profile characterizes the CD138+ cells in the progression from smoldering to active multiple myeloma	The transcriptomic profile of CD138 + cells from patients with early progression from smoldering to active multiple myeloma remains substantially unchanged	https://www.haematologica.org/article/view/9101	2019	Patient	CD138+	mm_stage	patient diagnosis:ch1'			1				yes		GPL25401	Microarray	Affymetrix Human Clariom D Assay	RMA	FALSE		
Jang et al. (2019)	GSE118900	15	597	19587	MGUS, SMM, MM, RRMM	Molecular Signatures of Multiple Myeloma Progression through Single Cell RNA-Seq	Molecular signatures of multiple myeloma progression through single cell RNA-Seq	https://www.nature.com/articles/s41408-018-0160-x	2018	Patient	CD138+	mm_stage	tumor stage:ch1'			1		patient		yes		GPL16791	RNA-Seq	Illumina HiSeq 2500	TPM	TRUE		scRNA-Seq
Stefka et al. (2020)	GSE128251	1	24	31397	MM	Potent Anti-Myeloma Activity of the TOPK inhibitor OTS514 in Pre-Clinical Models	Potent Anti-Myeloma Activity of the TOPK inhibitor OTS514 in Pre-Clinical Models	https://pubmed.ncbi.nlm.nih.gov/31714026/	2019	Cell line	H929	treatment	treatment:ch1'			1					yes*	GPL10558	Microarray	Illumina HumanHT-12 V4.0 expression beadchip	quantile normalization	FALSE		H929 cell lines used.; 'treatment' indicates the treatment condition applied; not the response to treatment. Still useful to help find genes affected by the different treatments, but different interpretation compared to other datasets where 'treatment' refers to *patient* response to treatment (e.g. poor / complete)
Bonolo et al. (2019)	GSE134598	9	22	45734	MM	Identification of PIKfyve kinase as a target in multiple myeloma	Identification of PIKfyve kinase as a target in multiple myeloma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7271606/	2019	Mixed	KMS26; JJN3; L363; EJM; RPMI-8266; patient	treatment		yes				dose, cell_type, sample_type			yes	GPL20301	RNA-Seq	Illumina HiSeq 4000	CPM	FALSE		- Some gene symbols in the supplemental file posted to GEO have been butchered by Excel (e.g. '1-Dec', '1-Mar', etc.); - Reported upstream (GEO)
Agnelli et al. (2009)	GSE13591	149	149	14208	Healthy, MGUS, MM	Integrated genomics approach to detect allelic imbalances in multiple myeloma	A SNP microarray and FISH-based procedure to detect allelic imbalances in multiple myeloma: an integrated genomics approach reveals a wide gene dosage effect	https://pubmed.ncbi.nlm.nih.gov/19396863/	2009	Patient	CD138+	mm_stage						sample_type		yes		GPL96	Microarray	Affymetrix Human Genome U133A Array	quantile normalization	FALSE	GSE1612; GSE2113; GSE6365	TC1', etc. cell status described in https://ashpublications.org/blood/article/104/3/607/18482/Advances-in-biology-of-multiple-myeloma-clinical
Bennett et al. (2022)	GSE144249	1	9	23346	MM	Transcriptomic profiling of drug-naïve or proteasome inhibitor-resistant myeloma cell lines	Resensitising proteasome inhibitor-resistant myeloma with sphingosine kinase 2 inhibition	https://pubmed.ncbi.nlm.nih.gov/34826777/	2022	Cell line	RPMI-8266	drug_resistance	drug resistance:ch1			1					yes*	GPL18573	RNA-Seq	Illumina NextSeq 500	[CPM]	FALSE		
Matulis et al. (2009)	GSE14519	4	28	24442	MM	Expression data from multiple myeloma cells treated with arsenic	Darinaparsin induces a unique cellular response and is active in an arsenic trioxide-resistant myeloma cell line	https://pubmed.ncbi.nlm.nih.gov/19417148/	2009	Cell line	U266; MM.1S; KMS11; 8226/S					1		treatment			yes	GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array	unknown	FALSE		
Saavedra-García (2021)	GSE158387	1	36	56816	MM	Global profiling of cancer cell recovery from therapy-induced stress reveals druggable vulnerabilities  	Systems level profiling of chemotherapy-induced stress resolution in cancer cells reveals druggable trade-offs	https://www.pnas.org/doi/full/10.1073/pnas.2018229118	2021	Cell line	RPMI-8266	treatment	treatment:ch1			1		time_point			yes	GPL20301	RNA-Seq	  Illumina HiSeq 4000	[CPM]	FALSE		
Shirasaki (2021)	GSE162205	1	42	35577	MM	Functional genomics identify distinct and overlapping genes mediating resistance to different classes of heterobifunctional degraders of oncoproteins	Functional Genomics Identify Distinct and Overlapping Genes Mediating Resistance to Different Classes of Heterobifunctional Degraders of Oncoproteins	https://pubmed.ncbi.nlm.nih.gov/33406420/	2021	Cell line	MM.1S	treatment									yes	GPL18573	RNA-Seq	Illumina NextSeq 500	[CPM]	FALSE		
